epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,5.939091763496399,0.6755,5.868333271354627,0.6836186305732485
2,5.127581385421753,0.723425,5.0742854001415765,0.7169585987261147
3,5.195536925125122,0.728325,5.564646081559977,0.7053144904458599
4,5.080693709564209,0.73195,6.003181562302219,0.7062101910828026
5,5.097520373153687,0.73345,5.254619387304707,0.7209394904458599
6,5.2023569162368775,0.731325,6.095997959185558,0.7177547770700637
7,5.147087263298035,0.7405,4.757177294439571,0.7496019108280255
8,5.16915066165924,0.740975,6.502517732085695,0.6959593949044586
9,5.156435504722595,0.73655,4.898403407661778,0.7345740445859873
10,5.126259668445587,0.738725,5.490981883304134,0.714171974522293
11,3.7493398891448972,0.780425,3.8714270580346417,0.7693073248407644
12,3.5533728366851807,0.78185,3.849582801199263,0.7664211783439491
13,3.521576538848877,0.782325,3.826998075482192,0.763734076433121
14,3.5208283625602723,0.779925,3.845358558900797,0.7640326433121019
15,3.502795042705536,0.7809,3.8192727607526598,0.758359872611465
16,3.49761414270401,0.779475,3.8102386214171244,0.7621417197452229
17,3.4932194186210634,0.78085,3.782705936082609,0.7623407643312102
18,3.493441736793518,0.78045,3.818568882289206,0.7609474522292994
19,3.4894218211174013,0.778925,3.8305307163554394,0.762937898089172
20,3.478985128593445,0.780925,3.862726167888398,0.761046974522293
21,3.4202129545211792,0.78165,3.8565108244586144,0.7605493630573248
22,3.4764537490844725,0.779125,3.9282148491804767,0.7570660828025477
23,3.5547990301132204,0.775175,4.020224339643102,0.7541799363057324
24,3.6386777643203736,0.772525,4.103453507848606,0.7507961783439491
25,3.720197491073608,0.7695,4.192029313676676,0.7486066878980892
26,3.800666282463074,0.767175,4.275763901935261,0.7465167197452229
27,3.8810247163772584,0.76555,4.365393403988735,0.7433320063694268
28,3.9600878721237183,0.764125,4.445805793355225,0.7426353503184714
29,4.03564560546875,0.762575,4.528138306490176,0.7421377388535032
30,4.111795365810394,0.7615,4.613614771776138,0.740047770700637
