d_dim,train_loss,train_accuracy,val_loss,val_accuracy,subspace_distance
10,2.149679142800743,0.2229859335038363,2.1442279868824468,0.23099124203821655,
25,1.8562755907892876,0.37719789002557547,1.840190366574913,0.38057324840764334,
50,1.409915189380231,0.5351462595907929,1.3768657491465284,0.5548367834394905,
75,0.7520711766484448,0.7670835997442456,0.71022577080757,0.7860270700636943,
100,0.46566416786226167,0.8613331202046036,0.4312582802810487,0.8705214968152867,
110,0.3813309349367381,0.8835917519181585,0.3435347867049989,0.8951035031847133,
120,0.41690115670642586,0.873701246803069,0.37636521411169865,0.8867436305732485,
130,0.3704758443967308,0.8859894501278772,0.34831830759526816,0.8987858280254777,
140,0.3549666626145468,0.8961397058823529,0.3258950436950489,0.9057523885350318,
150,0.2910021382010044,0.9103660485933504,0.25878379071594043,0.9197850318471338,
160,0.25701395215947764,0.9233535805626598,0.23363196337298983,0.9322253184713376,
170,0.24583688867576134,0.9261908567774936,0.2267090092608883,0.9326234076433121,
180,0.22446592158788,0.9338035485933504,0.20132045533247056,0.9419785031847133,
190,0.21837989387609769,0.9333040281329923,0.1984579032109042,0.9397890127388535,
200,0.22084774580948494,0.9309662723785166,0.21502305493707868,0.935609076433121,
250,0.1465749849215188,0.9555626598465473,0.13789759403106513,0.9583996815286624,
300,0.12890984547679382,0.9602381713554987,0.1304305718298171,0.9636743630573248,
350,0.08339915091834028,0.973525415601023,0.08787501824035007,0.9727308917197452,
400,0.08016639827843518,0.9754835358056266,0.08188723836829707,0.9751194267515924,
450,0.0761282506108265,0.9766424232736572,0.0845779768861593,0.9745222929936306,
500,0.0675975176091294,0.9791000639386189,0.08360893173724603,0.9754179936305732,
