d_dim,train_loss,train_accuracy,val_loss,val_accuracy
10,2.2157420203508926,0.17483216112531969,2.1993476296686065,0.1872014331210191
25,1.740441158604439,0.37691815856777494,1.7288427049187338,0.37898089171974525
50,1.270916269944452,0.5818414322250639,1.223348464555801,0.5930533439490446
75,0.9254728607509447,0.7000679347826086,0.8747594373620999,0.7157643312101911
100,0.8170062854619282,0.743486253196931,0.7446988037057743,0.7678144904458599
125,0.5748965965817346,0.8176750319693095,0.5345880232609002,0.8384753184713376
150,0.43968148945885543,0.8649296675191815,0.40402337301308944,0.8772890127388535
175,0.3723150573937637,0.8847506393861893,0.3421482526382823,0.8960987261146497
200,0.3194290979115097,0.9010549872122762,0.29685573574084384,0.9029657643312102
210,0.32055238546694026,0.9007153132992327,0.2894436312708885,0.910031847133758
220,0.27427512010954835,0.9162603900255755,0.26444357130557866,0.9189888535031847
230,0.3349605118641463,0.8979779411764706,0.3187855092013717,0.9029657643312102
240,0.3182328607782226,0.9016344309462916,0.2828123104894996,0.9144108280254777
250,0.23204029236188936,0.929747442455243,0.21625110193802294,0.934812898089172
260,0.2724156066051225,0.9166799872122762,0.24986791719866405,0.924562101910828
270,0.2367734062483015,0.926530530690537,0.22304313922905997,0.932921974522293
280,0.23946653324110276,0.9265505115089514,0.22779419829558795,0.931827229299363
290,0.23731630059230663,0.9284686700767263,0.22989413668965078,0.932921974522293
300,0.2225380176606843,0.9314657928388747,0.21525799869826645,0.9388933121019108
350,0.17522058052861172,0.9462715792838875,0.1827857877798141,0.9451632165605095
400,0.15935271242371454,0.9509470907928389,0.16399950159203475,0.9529259554140127
450,0.14337481456854,0.9545236572890026,0.15366820886636237,0.9548168789808917
500,0.12227680980492278,0.9633951406649617,0.13979806462718045,0.9602906050955414
