d_dim,train_loss,train_accuracy,val_loss,val_accuracy,subspace_distance
10,2.249125896207512,0.1230218989769821,2.241357545184482,0.12072054140127389,
25,1.8010341643982226,0.35893542199488493,1.778611847549487,0.36176353503184716,
50,1.3550293936448938,0.5484534846547314,1.3047272870495061,0.5746417197452229,
75,0.8179219296140134,0.736053388746803,0.7724376389175464,0.7505971337579618,
100,0.6797977187063383,0.7865449168797954,0.6297186959511155,0.8007563694267515,
125,0.5170601732895502,0.8387947570332481,0.46851832253538117,0.855593152866242,
150,0.4451681155416057,0.8611532928388747,0.4055191445502506,0.8764928343949044,
175,0.40064530084124,0.8762787723785166,0.3848362947060804,0.8819665605095541,
200,0.33451010396375375,0.896639226342711,0.305153926846328,0.9072452229299363,
210,0.3520309919362788,0.891983695652174,0.3245677641432756,0.8976910828025477,
220,0.32431410854239295,0.8989170396419437,0.3157095941863242,0.9007762738853503,
230,0.2912080429227608,0.9097466432225064,0.2684238887611468,0.9182921974522293,
240,0.24980358247790496,0.9222146739130435,0.23111325049191522,0.928343949044586,
250,0.26484613908488125,0.9181985294117647,0.25406181719747317,0.9228702229299363,
260,0.2548259045414226,0.9241128516624041,0.2347295298033459,0.929140127388535,
270,0.26331864914778247,0.9184782608695652,0.24966630453516722,0.9253582802547771,
280,0.2365559051599344,0.9268901854219949,0.2168481031278516,0.931827229299363,
290,0.22030395309409828,0.9338634910485933,0.19953891786800068,0.9389928343949044,
300,0.22410007708174798,0.9322650255754475,0.20857627329173362,0.9370023885350318,
350,0.1957171088146508,0.9394980818414322,0.19218577525228453,0.9415804140127388,
400,0.15850349842473063,0.951386668797954,0.16094226110133397,0.9544187898089171,
450,0.13839194076635952,0.9569013746803069,0.14718169543393858,0.9570063694267515,
500,0.13040672652328106,0.9595987851662404,0.14440552702849838,0.9564092356687898,
