d_dim,train_loss,train_accuracy,val_loss,val_accuracy,subspace_distance
10,2.303178456364846,0.08474960588679022,2.3031609773635866,0.07814094386994838,
25,2.2956360602865415,0.11422284129931003,2.295634126663208,0.10911591202020646,
50,2.272111328280702,0.21213592315206722,2.2722272634506226,0.2184211567044258,
75,2.2081065372544892,0.34890242985316683,2.2038037538528443,0.3696328908205032,
100,2.147966890918965,0.419390537909099,2.147080683708191,0.4196847081184387,
125,1.1548778475547323,0.6385323660714286,1.1231732964515686,0.6565748572349548,
150,0.7996328290627928,0.7381127865947023,0.7525211572647095,0.7579161345958709,
175,0.6308719369829917,0.8056926411025378,0.5787923872470856,0.8266780912876129,
200,0.5666790470785025,0.8279328467894573,0.5078270554542541,0.8465142667293548,
210,0.5727809886543118,0.8162077032789892,0.52041996717453,0.8331174254417419,
220,0.5148548745379156,0.8416637583654754,0.4746076464653015,0.8573222219944,
230,0.4722714539693326,0.8544989568846566,0.43221706449985503,0.8687041580677033,
240,0.47203586478622594,0.8580329320868667,0.4249463677406311,0.8726761758327484,
250,0.47981197128490527,0.8516252977507455,0.427892392873764,0.8702427446842194,
260,0.49810402125728376,0.8455572237773817,0.45849052369594573,0.8572405099868774,
270,0.49745095384364224,0.8449397743964682,0.4572068065404892,0.8570611417293549,
280,0.37682538129845444,0.886360012755102,0.3425153523683548,0.8987842798233032,
290,0.4173364791334892,0.8744852080637094,0.3777567625045776,0.889275747537613,
300,0.41607291418678904,0.8704826941295546,0.3734640508890152,0.8834323167800904,
350,0.3330240298290642,0.8999187009675162,0.30898304283618927,0.909849327802658,
400,0.31850188970565796,0.9032078786772124,0.2858960598707199,0.9150011956691741,
450,0.2619769126176834,0.9196014939522257,0.24053287208080293,0.925382649898529,
500,0.23170204582263013,0.9295081313775511,0.21644965410232545,0.9379962503910064,
