d_dim,train_loss,train_accuracy,val_loss,val_accuracy,subspace_distance
10,2.21887334563848,0.17199488491048592,2.2054439274368773,0.18083200636942676,
25,1.6084016819134392,0.45288523017902815,1.5837483892015591,0.4596934713375796,
50,1.0705108390287366,0.6583479859335039,1.0093291595483282,0.6735668789808917,
75,0.5644975452090774,0.8246882992327366,0.5190288427339238,0.8369824840764332,
100,0.5158299659104908,0.8380155051150895,0.4717923574576712,0.8511146496815286,
110,0.41508419066667557,0.8743206521739131,0.3793478416409462,0.8826632165605095,
120,0.41801417053050705,0.8727221867007673,0.37151179666731765,0.8890326433121019,
130,0.36536972503870957,0.8933024296675192,0.3288366199251573,0.9050557324840764,
140,0.3426616135555917,0.8959998401534527,0.3144421384782548,0.9086385350318471,
150,0.28634423531039294,0.9117447250639387,0.2483255225619313,0.9238654458598726,
160,0.27672207527948767,0.9159007352941176,0.25067797134731223,0.924562101910828,
170,0.2848310403792602,0.9107456841432225,0.2571302394198764,0.9230692675159236,
180,0.24108384414325895,0.9262707800511509,0.2203363157559637,0.932921974522293,
190,0.20889209223258526,0.936940537084399,0.18343778210840408,0.9456608280254777,
200,0.19031619273907388,0.9418358375959079,0.1854481866025621,0.9467555732484076,
250,0.17691036510993452,0.9474304667519181,0.1686334295352553,0.9499402866242038,
300,0.11287222155953383,0.9654132033248082,0.11250028851780162,0.9661624203821656,
350,0.10001875412033494,0.9692495204603581,0.11102959330958925,0.9685509554140127,
400,0.0800470389673472,0.975323689258312,0.09185873726560811,0.9724323248407644,
450,0.08616199280978526,0.9739050511508951,0.09053872755408335,0.9745222929936306,
500,0.07370447256909612,0.9766624040920716,0.09058576297892887,0.9740246815286624,
