epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.23514021859239892,0.9275495524296675,0.11693648025868045,0.9617834394904459
2,0.10434723950808159,0.9682105179028133,0.11504419997429392,0.9671576433121019
3,0.08086524041526763,0.9746643222506394,0.10727229740494376,0.9683519108280255
4,0.06331602545678996,0.9796195652173914,0.10040319888929652,0.9735270700636943
5,0.054073367648950925,0.9829763427109974,0.10436996830639186,0.9740246815286624
6,0.05030808966997487,0.9842750959079284,0.12079065457983001,0.9721337579617835
7,0.04433652501353218,0.9861532928388747,0.11025745461985564,0.9727308917197452
8,0.038371709170644086,0.987292199488491,0.10631428779974865,0.9786027070063694
9,0.03952375925658152,0.9878117007672634,0.11844670840770385,0.9738256369426752
10,0.0351301662890655,0.9891304347826086,0.12843717432990195,0.9737261146496815
11,0.012618006026024557,0.9963235294117647,0.09253073448113575,0.9814888535031847
12,0.004586470730202582,0.9987811700767263,0.0936712171811207,0.981687898089172
13,0.002672585896918993,0.9994605179028133,0.09552719325396665,0.9813893312101911
14,0.001674855139840137,0.9997402493606138,0.09809534433208833,0.9818869426751592
15,0.0010609573915676997,0.9998401534526854,0.10087371176215494,0.9820859872611465
16,0.0006988205520621956,0.999940057544757,0.10458546415398455,0.9819864649681529
17,0.0004132722011383842,0.9999800191815856,0.10870798960755206,0.9819864649681529
18,0.000293479836962717,1.0,0.1107403964492356,0.9822850318471338
19,0.0002164244270690567,0.9999800191815856,0.11559375515504247,0.9822850318471338
20,0.0001928465264608793,0.9999800191815856,0.11874584077744726,0.9825835987261147
21,8.372816702593927e-05,1.0,0.11860582493482881,0.9826831210191083
22,7.234393235515145e-05,1.0,0.1191511321931508,0.9823845541401274
23,6.614156219812916e-05,1.0,0.11995533229723858,0.9822850318471338
24,6.084377541566444e-05,1.0,0.12079524666450586,0.9822850318471338
25,5.503084100878147e-05,1.0,0.12190331599325131,0.9826831210191083
26,4.926995109871525e-05,1.0,0.12330094193387184,0.9826831210191083
27,4.3781474232673645e-05,1.0,0.12429345396768515,0.9825835987261147
28,3.809934420049038e-05,1.0,0.12578069440023915,0.9825835987261147
29,3.306753933429718e-05,1.0,0.12724673572429426,0.9826831210191083
30,2.881668774825533e-05,1.0,0.12831085244086898,0.982484076433121
