d_dim,train_loss,train_accuracy,val_loss,val_accuracy,subspace_distance
10,2.281568168984045,0.12426070971867008,2.2789285122209293,0.1301751592356688,
25,1.850629117330322,0.35661764705882354,1.8299541723955968,0.3600716560509554,
50,1.2767398865021709,0.5856577685421995,1.2413447962445059,0.5933519108280255,
75,0.9450670173558433,0.7031050191815856,0.8929890690335802,0.7227308917197452,
100,0.6741975496911332,0.7865648976982097,0.629198231989411,0.8069267515923567,
125,0.5605842565255397,0.8253276854219949,0.49858789601523407,0.845640923566879,
150,0.4296903826696489,0.8680866368286445,0.3890992817795201,0.8828622611464968,
175,0.3819754888372653,0.881513746803069,0.3534578723227902,0.8930135350318471,
200,0.3159441500711624,0.9057904411764706,0.2970389225253254,0.9115246815286624,
210,0.29307102102338506,0.910905530690537,0.27864040628929804,0.9173964968152867,
220,0.2893684705828919,0.9127837276214834,0.27806594813610336,0.9164012738853503,
230,0.31880867732760243,0.9035525895140665,0.2896247683389551,0.9148089171974523,
240,0.2913987969841494,0.9098665281329923,0.27149294245584754,0.9186902866242038,
250,0.26505147457084693,0.9195372442455243,0.2387920068043053,0.9294386942675159,
260,0.25746175208988853,0.9209558823529411,0.24121652821161946,0.9294386942675159,
270,0.2412771263238414,0.9260709718670077,0.23587419562468862,0.9296377388535032,
280,0.24999063292427745,0.9234335038363172,0.24042677271897625,0.9293391719745223,
290,0.2131019793927212,0.9354819373401535,0.20644145194369895,0.9392914012738853,
300,0.2006861888958365,0.9394581202046036,0.19361638038709855,0.943172770700637,
350,0.17577769043271804,0.9461317135549873,0.1771474626555944,0.9476512738853503,
400,0.15289351534184134,0.9516664002557544,0.16100885609912266,0.9532245222929936,
450,0.14273442618091545,0.9550031969309463,0.1572086089735578,0.955015923566879,
500,0.13238275083510773,0.9593390345268542,0.14204926442378646,0.9586982484076433,
