d_dim,train_loss,train_accuracy,val_loss,val_accuracy
1,6.312002347660065,0.6706,5.452513198184359,0.6902866242038217
2,5.375802575492859,0.721625,5.208596679055766,0.7366640127388535
3,5.41371565361023,0.729225,5.661714941073376,0.7210390127388535
4,5.313775704193115,0.733125,6.291814855709197,0.6824243630573248
5,5.258942194747925,0.731675,5.5401932236495295,0.7081011146496815
6,5.363361947441101,0.7312,4.959215602297692,0.7334792993630573
7,5.322365412330628,0.72935,6.523697066458927,0.6999402866242038
8,5.364043946647644,0.729025,6.086256054556294,0.6788415605095541
9,5.323226285552979,0.727975,5.05329102087932,0.7329816878980892
10,5.279959334754944,0.7293,5.408670414025616,0.7204418789808917
11,5.3451326522827145,0.733325,5.554085271373676,0.7140724522292994
12,5.4068867904663085,0.7303,5.3281853867184585,0.7228304140127388
13,5.392218504524231,0.73255,5.653072029921659,0.7177547770700637
14,5.316683882713318,0.7368,5.128224201263136,0.7219347133757962
15,5.277021375274658,0.73165,5.049171134924433,0.730593152866242
16,5.358482530784607,0.729775,5.248239623513191,0.7303941082802548
17,5.36586541595459,0.7304,4.658891841104835,0.7522890127388535
18,5.348347969245911,0.7268,5.329267989298341,0.723328025477707
19,5.36638104095459,0.72945,5.361914993091753,0.7248208598726115
20,5.401963733673096,0.72825,5.174341188114919,0.7307921974522293
21,5.43840101108551,0.727275,5.404421503376809,0.713077229299363
22,5.342438235282898,0.7292,5.110926636465036,0.7129777070063694
23,5.376863625717163,0.725425,5.342730288292952,0.7227308917197452
24,5.3322668424606325,0.728125,5.5476953421428705,0.7134753184713376
25,5.384165687942505,0.730025,5.151629629408478,0.7262141719745223
26,5.325346474266052,0.727925,5.696124649351569,0.7150676751592356
27,5.31177950668335,0.725175,5.132900834083557,0.7253184713375797
28,5.347926861190796,0.728775,5.742997760226013,0.7182523885350318
29,5.342039249038696,0.7326,5.147308594861608,0.7259156050955414
30,5.314639595794678,0.730625,4.8786302926434075,0.7420382165605095
