d_dim,train_loss,train_accuracy,val_loss,val_accuracy
1,6.203435106277466,0.67915,5.179898906665243,0.7192476114649682
2,5.215950311851501,0.7267,4.941999710289536,0.7452229299363057
3,5.165089067459107,0.732725,4.948990197698022,0.7326831210191083
4,5.044106074333191,0.735925,5.753312729726172,0.6882961783439491
5,5.192811474227906,0.734425,5.2535221060370185,0.720640923566879
6,5.163302849006653,0.737775,4.923002480701276,0.7342754777070064
7,5.102068558883667,0.73625,5.450679202747953,0.7334792993630573
8,5.126761368179321,0.7389,5.8731016596411445,0.7127786624203821
9,5.158200902938843,0.7369,4.923714528417891,0.7386544585987261
10,5.131319256973266,0.745225,5.413062639297194,0.7318869426751592
11,3.776958988571167,0.787025,3.6899509600772977,0.7753781847133758
12,3.5025127610206606,0.78955,3.6172933009020083,0.773984872611465
13,3.4385300265312195,0.7878,3.624316670712392,0.7710987261146497
14,3.403046560573578,0.788375,3.6297893888631445,0.7686106687898089
15,3.3930085620880126,0.7873,3.6247176759561914,0.7701035031847133
16,3.3778471669197083,0.787525,3.5763733618578333,0.7722929936305732
17,3.370175005149841,0.786825,3.654740111843036,0.7679140127388535
18,3.360323096752167,0.786275,3.6350612302494656,0.7663216560509554
19,3.350894511604309,0.7874,3.6466607432456533,0.770203025477707
20,3.3473209795951844,0.786375,3.6865354757400075,0.7650278662420382
21,3.250537147426605,0.789525,3.5957797025419342,0.7678144904458599
22,3.231892574977875,0.791075,3.583823396521769,0.7686106687898089
23,3.227017273426056,0.790775,3.5808320193533687,0.7692078025477707
24,3.223893823337555,0.7912,3.5781364091642343,0.7691082802547771
25,3.2211302253723146,0.7907,3.5825122173424737,0.7674164012738853
26,3.220167119884491,0.7908,3.5788270842497516,0.7691082802547771
27,3.219244298171997,0.7911,3.585322291228422,0.7687101910828026
28,3.2185766355514525,0.79095,3.578720240076636,0.7689092356687898
29,3.216917020702362,0.791975,3.590003652557446,0.7682125796178344
30,3.2148209065437316,0.79115,3.5858482240111966,0.7695063694267515
