d_dim,train_loss,train_accuracy,val_loss,val_accuracy
1,0.8424792138338089,0.761675,0.5850270279463688,0.8244426751592356
2,0.47448294458389284,0.86415,0.46676381069953277,0.8638535031847133
3,0.43172644239664076,0.87595,0.42147397994995117,0.8840565286624203
4,0.41679258967638017,0.8822,0.4442470812114181,0.8750995222929936
5,0.4037971750974655,0.885725,0.49306915994662387,0.857484076433121
6,0.3942636974811554,0.888,0.43173620377661315,0.881468949044586
7,0.3835007245898247,0.890475,0.4335471540214909,0.884156050955414
8,0.3770168707370758,0.8925,0.43769917352374194,0.8788813694267515
9,0.37029905264377594,0.896125,0.4017008330411972,0.8905254777070064
10,0.3691633899152279,0.8967,0.37690987105771995,0.8948049363057324
11,0.3660674051463604,0.89625,0.4499825052679724,0.8821656050955414
12,0.360520598423481,0.899625,0.40249242192241036,0.8904259554140127
13,0.3626024055242538,0.899,0.41484158851538494,0.8908240445859873
14,0.3607914662361145,0.899625,0.3870233830752646,0.8960987261146497
15,0.35538582649827005,0.90125,0.37690462433039,0.9023686305732485
16,0.35303800777196886,0.901875,0.45832317502825126,0.880672770700637
17,0.3538394536316395,0.9021,0.39808564887020237,0.894406847133758
18,0.3490907723069191,0.903525,0.39893385649296886,0.892515923566879
19,0.346911245316267,0.90235,0.38129021891742754,0.8987858280254777
20,0.3442755404293537,0.905,0.39612005515747767,0.8927149681528662
21,0.34066155505180357,0.9046,0.40151908922537116,0.8958996815286624
22,0.3381455031514168,0.90535,0.4249310095788567,0.8813694267515924
23,0.3388359741985798,0.90535,0.383995438220015,0.9031648089171974
24,0.33329179487228394,0.90635,0.3775627344467078,0.8960987261146497
25,0.3362935213446617,0.906525,0.3751821396457162,0.8965963375796179
26,0.33258529814481735,0.9074,0.3824979692792437,0.8959992038216561
27,0.3330303813546896,0.906,0.3685708814508216,0.9021695859872612
28,0.3353287740767002,0.90595,0.3716942493323308,0.8946058917197452
29,0.3282560699462891,0.90735,0.4520875707173803,0.8815684713375797
30,0.3280744984090328,0.907775,0.3506892678464294,0.9071457006369427
