d_dim,train_loss,train_accuracy,val_loss,val_accuracy
1,4.70046905708313,0.30355,4.310841151863147,0.306031050955414
2,4.207476795959472,0.368425,4.441385741446428,0.3600716560509554
3,4.169876992416381,0.38555,4.025386945457216,0.39798964968152867
4,4.171838617706299,0.385725,4.1669336261263314,0.38554936305732485
5,4.187813222885132,0.38605,4.11851158415436,0.38057324840764334
6,4.169184312438965,0.385325,4.033596444281803,0.39729299363057324
7,4.153497734069824,0.3881,4.203385442685169,0.3756966560509554
8,4.16274633026123,0.388375,4.4272665127067805,0.3695262738853503
9,4.1889160484313965,0.385025,4.106478575688259,0.39470541401273884
10,4.165390677261352,0.38495,4.611976974329371,0.3769904458598726
11,3.830644959640503,0.40365,3.873946041058583,0.4096337579617834
12,3.8121904632568357,0.408525,3.8754207374183993,0.4125199044585987
13,3.811936061859131,0.408425,3.863087675374025,0.40644904458598724
14,3.811100950241089,0.40805,3.865740732022911,0.41261942675159236
15,3.8085130252838133,0.410025,3.8899423893849563,0.40863853503184716
16,3.8097675258636476,0.410625,3.8618612790563303,0.41102707006369427
17,3.8092888847351074,0.40955,3.872336955586816,0.4101313694267516
18,3.8087256458282472,0.408475,3.863569103228818,0.41182324840764334
19,3.8096979465484617,0.409825,3.8711390343441328,0.4094347133757962
20,3.810671563339233,0.408525,3.862675499764218,0.40794187898089174
21,3.7926897426605226,0.4101,3.856294941750302,0.41182324840764334
22,3.790946887969971,0.411825,3.855670584235222,0.4101313694267516
23,3.7907042705535887,0.4114,3.8558945655822754,0.4111265923566879
24,3.7904255699157714,0.411225,3.85778162130125,0.4112261146496815
25,3.7905669189453124,0.411075,3.8572471612577983,0.41033041401273884
26,3.790336723136902,0.410575,3.8567253981426264,0.4099323248407643
27,3.790350804901123,0.410775,3.8581027726458896,0.4085390127388535
28,3.790205577087402,0.411175,3.8563642410715673,0.4096337579617834
29,3.7901902824401854,0.4102,3.858405111701625,0.41062898089171973
30,3.7904218292236327,0.40995,3.857987030296569,0.41033041401273884
