epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7818551414370537,0.79455,0.43084170061881377,0.8702229299363057
2,0.34283736503124235,0.897225,0.3280445846972192,0.903562898089172
3,0.2632152588546276,0.922275,0.27206964603370165,0.9177945859872612
4,0.2248610031604767,0.932,0.24152801228556664,0.9289410828025477
5,0.1981450865983963,0.940775,0.22773776751509897,0.930234872611465
6,0.1785739340364933,0.946875,0.20475558081202827,0.9408837579617835
7,0.1626636756271124,0.95065,0.19864293350986426,0.9389928343949044
8,0.15671556961983443,0.953375,0.19656413321377367,0.9429737261146497
9,0.1439908499583602,0.956625,0.185065866548829,0.9442675159235668
10,0.13943677633553744,0.95755,0.17780594245358639,0.9487460191082803
