epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.4982562171399593,0.857,0.22553426568295545,0.9299363057324841
2,0.17843580287694932,0.94395,0.18937423381551055,0.941281847133758
3,0.13493904215693475,0.958125,0.1419406047767135,0.9563097133757962
4,0.11022143400907516,0.965325,0.12803497732539845,0.9594944267515924
5,0.09445509581565857,0.97095,0.12054736179056441,0.9633757961783439
6,0.08307784082889556,0.97475,0.12086919035501541,0.961484872611465
7,0.07464580369591713,0.97695,0.10867667803244227,0.9669585987261147
8,0.0669178893327713,0.9791,0.10618886368194963,0.96765525477707
9,0.06034642084240913,0.98075,0.10504971990349946,0.9696457006369427
10,0.05546903735399246,0.98285,0.10640163147810158,0.9666600318471338
11,0.04301603393554688,0.987125,0.0935247455527828,0.9726313694267515
12,0.041341776090860365,0.98775,0.09288821561606067,0.9727308917197452
13,0.04058010059595108,0.987925,0.09236918325731709,0.9729299363057324
14,0.04009109766483307,0.98755,0.09293774090659847,0.972531847133758
15,0.03965209270715714,0.9879,0.09216543158907799,0.9732285031847133
16,0.03910515447258949,0.9884,0.09346769975533911,0.9723328025477707
17,0.03880473303198814,0.98805,0.09260845098905503,0.9730294585987261
18,0.038356758177280424,0.988525,0.09222392443638698,0.9729299363057324
19,0.037942982017993926,0.98865,0.09335534879641169,0.9724323248407644
20,0.03754026182293892,0.98855,0.09243413960193372,0.9729299363057324
21,0.03639245007634163,0.988775,0.09199991283617961,0.9728304140127388
22,0.036234285646677016,0.98905,0.092061421436489,0.9730294585987261
23,0.036185749840736386,0.989075,0.09209542731001119,0.9729299363057324
24,0.03613368829488754,0.9891,0.09206269157065708,0.9729299363057324
25,0.03609990488290787,0.9891,0.09215885467210393,0.9729299363057324
26,0.036059260529279706,0.9892,0.09212438301865462,0.9730294585987261
27,0.036014769452810284,0.989225,0.09213220392158077,0.9730294585987261
28,0.03597629679441452,0.9892,0.09216703386728171,0.9729299363057324
29,0.03592895649671555,0.989175,0.0921281596562665,0.9731289808917197
30,0.03590456243157387,0.989125,0.09222975261746698,0.9730294585987261
