epoch,train_loss,train_accuracy,val_loss,val_accuracy,subspace_distance
1,2.1562440287121727,0.3382352941176471,1.859067790827174,0.5284633757961783,"tensor(9.2077e-06, device='cuda:0')"
2,1.3654706145034117,0.5975063938618926,1.0070363503352853,0.6762539808917197,"tensor(2.3113e-05, device='cuda:0')"
3,0.9911508567040533,0.6780490728900256,0.8740884407310728,0.7180533439490446,"tensor(3.3945e-05, device='cuda:0')"
4,0.9101775578982995,0.7024056905370843,0.8194641216545347,0.7347730891719745,"tensor(4.2973e-05, device='cuda:0')"
5,0.8720300387391045,0.7156130115089514,0.7887588050335076,0.7453224522292994,"tensor(4.9968e-05, device='cuda:0')"
6,0.8468990653295956,0.7244445332480819,0.7667677275314453,0.7525875796178344,"tensor(5.5839e-05, device='cuda:0')"
7,0.8241338987484612,0.7346547314578005,0.7472069257763541,0.7543789808917197,"tensor(6.0663e-05, device='cuda:0')"
8,0.8060103287477323,0.740888746803069,0.7277525733610627,0.7674164012738853,"tensor(6.5543e-05, device='cuda:0')"
9,0.7915974233842566,0.7457640664961637,0.7175812028395901,0.7714968152866242,"tensor(7.1883e-05, device='cuda:0')"
10,0.7795577663975908,0.7502997122762148,0.704516209424681,0.7775676751592356,"tensor(7.6409e-05, device='cuda:0')"
11,0.7691887831672684,0.7547354539641944,0.6999208541812411,0.7778662420382165,"tensor(7.9535e-05, device='cuda:0')"
12,0.7643572059662446,0.756513746803069,0.6973610905704984,0.7792595541401274,"tensor(8.4276e-05, device='cuda:0')"
13,0.7605298143594771,0.7581521739130435,0.693699374130577,0.7782643312101911,"tensor(8.9081e-05, device='cuda:0')"
14,0.7566370502152406,0.7593710038363172,0.688533170967345,0.7837380573248408,"tensor(9.1212e-05, device='cuda:0')"
15,0.7535431315298275,0.760789641943734,0.6869769870855247,0.783140923566879,"tensor(9.4348e-05, device='cuda:0')"
16,0.7507589206747387,0.7619085677749361,0.6829213989768058,0.7840366242038217,"tensor(9.9145e-05, device='cuda:0')"
17,0.7477102376463468,0.7628276854219949,0.6791186947731456,0.7857285031847133,"tensor(0.0001, device='cuda:0')"
18,0.7459551010595258,0.7632472826086957,0.6776994421223926,0.7872213375796179,"tensor(0.0001, device='cuda:0')"
19,0.7433252740470345,0.7649256713554987,0.676353860812582,0.788515127388535,"tensor(0.0001, device='cuda:0')"
20,0.7415109940654482,0.7654651534526854,0.675076129140368,0.7884156050955414,"tensor(0.0001, device='cuda:0')"
21,0.739049214955486,0.7661245204603581,0.6728889976337458,0.7886146496815286,"tensor(0.0001, device='cuda:0')"
22,0.7385610890815325,0.765625,0.6720346514206783,0.7888136942675159,"tensor(0.0001, device='cuda:0')"
23,0.7375216623172736,0.7663043478260869,0.6715210254784603,0.7876194267515924,"tensor(0.0001, device='cuda:0')"
24,0.7374798845680778,0.7662044437340153,0.6706229154091732,0.7887141719745223,"tensor(0.0001, device='cuda:0')"
25,0.736701980881069,0.7666839833759591,0.6699759039529569,0.7876194267515924,"tensor(0.0001, device='cuda:0')"
26,0.7363671998462409,0.7665441176470589,0.6699989084984846,0.7881170382165605,"tensor(0.0001, device='cuda:0')"
27,0.7363342449564458,0.7672834079283888,0.6693300346660006,0.7887141719745223,"tensor(0.0001, device='cuda:0')"
28,0.7348916030981961,0.7675431585677749,0.6685680585682012,0.7894108280254777,"tensor(0.0001, device='cuda:0')"
29,0.7347704316191661,0.7680226982097187,0.6680168397487349,0.7889132165605095,"tensor(0.0001, device='cuda:0')"
30,0.734219139341808,0.7675231777493606,0.6678343637354055,0.7892117834394905,"tensor(0.0001, device='cuda:0')"
31,0.7334298882490534,0.7682824488491049,0.667223925613294,0.7897093949044586,"tensor(0.0001, device='cuda:0')"
32,0.7336599931616308,0.7681425831202046,0.6669646176942594,0.7894108280254777,"tensor(0.0001, device='cuda:0')"
33,0.7326765641227098,0.7683823529411765,0.6669346221313355,0.7897093949044586,"tensor(0.0001, device='cuda:0')"
34,0.7328297431435427,0.7678628516624041,0.6667233726401238,0.7903065286624203,"tensor(0.0002, device='cuda:0')"
35,0.7330010981129869,0.7683024296675192,0.6666153555463075,0.7900079617834395,"tensor(0.0002, device='cuda:0')"
36,0.7325789345347363,0.7681625639386189,0.6663583264609051,0.7898089171974523,"tensor(0.0002, device='cuda:0')"
37,0.7323144108743009,0.7683623721227621,0.6660101315018477,0.7909036624203821,"tensor(0.0002, device='cuda:0')"
38,0.7317877326093977,0.7686421035805626,0.6658267386400016,0.7911027070063694,"tensor(0.0002, device='cuda:0')"
39,0.7319820424556123,0.7686820652173914,0.6655800363440423,0.7913017515923567,"tensor(0.0002, device='cuda:0')"
40,0.7313112150448973,0.7689418158567775,0.665744557122516,0.790406050955414,"tensor(0.0002, device='cuda:0')"
41,0.7314217463707375,0.7688219309462916,0.6654955097444498,0.7911027070063694,"tensor(0.0002, device='cuda:0')"
42,0.7316483562940832,0.7685821611253197,0.6652874673248097,0.7909036624203821,"tensor(0.0002, device='cuda:0')"
43,0.7313343789571386,0.7688818734015346,0.6652140418055711,0.7906050955414012,"tensor(0.0002, device='cuda:0')"
44,0.7314394427001324,0.76872202685422,0.6652246759195996,0.791202229299363,"tensor(0.0002, device='cuda:0')"
45,0.7310366218580919,0.7689218350383632,0.6651496473391345,0.7909036624203821,"tensor(0.0002, device='cuda:0')"
46,0.7313183249567475,0.7688419117647058,0.6650326113412335,0.7910031847133758,"tensor(0.0002, device='cuda:0')"
47,0.7311628946029317,0.7689817774936062,0.6649780055140234,0.791202229299363,"tensor(0.0002, device='cuda:0')"
