epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,1.7503394030625252,0.41829843350383633,0.6748239981710531,0.7750796178343949
2,0.5757732147832051,0.8188539002557544,0.4862693021441721,0.8480294585987261
3,0.5136581160833159,0.8416520140664961,0.7942664731460013,0.7541799363057324
4,0.4863187077328982,0.8515824808184144,0.4432089005591004,0.8661425159235668
5,0.46602908064566,0.856397858056266,0.5487556519212237,0.828125
6,0.4424875107453302,0.8643302429667519,0.45796650145084233,0.8609673566878981
7,0.420856657159298,0.8704643542199488,0.5171093705353463,0.8405652866242038
8,0.4118426309712708,0.8736013427109974,0.38894022199188827,0.8839570063694268
9,0.40922485514903617,0.874880115089514,0.388914958449306,0.884952229299363
10,0.3975652835481917,0.8792958759590793,0.4083268774353015,0.8749004777070064
11,0.36877926776323783,0.8893462276214834,0.3256332266387666,0.9010748407643312
12,0.36675599276485954,0.8906050191815856,0.38499197083863484,0.8831608280254777
13,0.3648235523296744,0.8909846547314578,0.3387064818458952,0.9000796178343949
14,0.3655904988517694,0.8913443094629157,0.3280380517956178,0.9023686305732485
15,0.3647886106025075,0.8910645780051151,0.3397274248444351,0.8998805732484076
16,0.36572775437170285,0.8907249040920716,0.35188619374849234,0.8900278662420382
17,0.363103554796075,0.8909846547314578,0.3396117115144137,0.8981886942675159
18,0.36386433282814673,0.8920036764705882,0.4105563310870699,0.8709195859872612
19,0.36236444247119565,0.8925231777493606,0.33891131959048804,0.899781050955414
20,0.3624813258933747,0.8924032928388747,0.37893989777109427,0.8875398089171974
21,0.3508388389406912,0.8959598785166241,0.3170729596049163,0.9054538216560509
22,0.34988417958512025,0.8966791879795396,0.32542167824639634,0.9019705414012739
23,0.34922851642112596,0.8958799552429667,0.321015354317085,0.902468152866242
24,0.3486600811104945,0.8962795716112532,0.3167620373854212,0.9053542993630573
25,0.3487029085626535,0.8968789961636828,0.3186985067311366,0.9070461783439491
26,0.3478444887377569,0.8974584398976982,0.3217670180283155,0.9034633757961783
27,0.34736514361122683,0.8972786125319693,0.326474965828809,0.9012738853503185
28,0.3473578293324279,0.8962795716112532,0.32451415899547803,0.9034633757961783
29,0.348092801125763,0.8963794757033248,0.317246740814417,0.9040605095541401
30,0.34653851315569695,0.8978580562659847,0.3200816830774401,0.9029657643312102
31,0.34237522487064154,0.899056905370844,0.3107746281916169,0.9066480891719745
32,0.34267874222124933,0.8987771739130435,0.3110569741363358,0.9067476114649682
33,0.34232608472828363,0.8988770780051151,0.3129350988396034,0.9060509554140127
34,0.34242297348845036,0.8983375959079284,0.3098395488634231,0.9075437898089171
35,0.34235243345884714,0.8992367327365729,0.3136965554610939,0.9054538216560509
36,0.34180732570645755,0.8991368286445013,0.3100090224034847,0.90625
37,0.34168492967401015,0.8993366368286445,0.3112372231141777,0.9070461783439491
38,0.343068382557472,0.8992766943734015,0.30969054837989957,0.9077428343949044
39,0.3419008435648116,0.8987372122762148,0.31000075811982913,0.9067476114649682
40,0.3414377286325178,0.8993166560102301,0.31068201885101904,0.9066480891719745
41,0.340176374901591,0.8996563299232737,0.3093882329097599,0.9076433121019108
42,0.33973851362648216,0.8996962915601023,0.3089070088544469,0.9075437898089171
43,0.3396992300782362,0.9001958120204604,0.3093391144351595,0.908140923566879
44,0.3401891451490962,0.8996563299232737,0.30923964054721176,0.9074442675159236
45,0.3394553319400991,0.899796195652174,0.3088190760582116,0.9074442675159236
46,0.3395549007084059,0.8999760230179028,0.30865290058646233,0.9072452229299363
47,0.33978787098851654,0.9002157928388747,0.30964414668595713,0.9067476114649682
48,0.3402513238360815,0.8998761189258312,0.30923355729052215,0.9069466560509554
49,0.33948525882628566,0.9001358695652174,0.30904543535060186,0.9070461783439491
50,0.3394690657134556,0.8997762148337596,0.3086500538714752,0.9058519108280255
