d_dim,train_loss,train_accuracy,val_loss,val_accuracy,subspace_distance
10,2.299087397906245,0.12579456154181032,2.2993063926696777,0.13426139950752258,
25,2.2956912955459283,0.10004557547520618,2.2961151361465455,0.09635283797979355,
50,2.2904606546674455,0.14715070870457864,2.2901689767837525,0.15440050959587098,
75,2.2033448365269876,0.15968319834495076,2.200393724441528,0.1646564096212387,
100,2.240173743695629,0.3241420388221741,2.239644432067871,0.3235052615404129,
110,2.177420431253861,0.38916711296354023,2.179351806640625,0.38955078125,
120,0.9306278690999868,0.7038387145314898,0.8906320452690124,0.7215521335601807,
130,2.0810753423340467,0.39952424107765666,2.084925389289856,0.3937938451766968,
140,0.7101231898580279,0.7757813249315534,0.6605698764324188,0.796570074558258,
150,0.9010881234188469,0.7217695603565294,0.8444149196147919,0.7460778057575226,
160,0.5919583829081788,0.8157384127986674,0.5511321127414703,0.8306381523609161,
170,0.5413376968734118,0.8342272943379928,0.49607682824134824,0.8458246946334839,
180,0.5886890194853958,0.8220039046540553,0.5315383434295654,0.8410714268684387,
190,0.5871745396633538,0.8228477276101405,0.5388792306184769,0.8368861615657807,
200,0.4346948612709435,0.8677124454050648,0.3953540652990341,0.8808254897594452,
250,0.4044833499558118,0.8807206178198055,0.38657375872135163,0.8869479417800903,
300,0.34745380829791633,0.8962632673127311,0.31561212837696073,0.9067024052143097,
350,0.2910176016846482,0.9111305560384478,0.26492393761873245,0.9210040628910064,
400,0.2764553546297307,0.917475016749635,0.2547916129231453,0.9237902581691741,
450,0.2553103444527607,0.9226281983511788,0.22246736213564872,0.9345703125,
500,0.21135644827570235,0.9349707900261393,0.1969689905643463,0.9423449456691741,
