epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,2.5924849772453307,0.483525,2.4170201113269587,0.5101512738853503
2,2.175581837272644,0.544125,2.058642658458394,0.5569267515923567
3,2.2015275140762327,0.55085,2.256589327648187,0.5574243630573248
4,2.1951575016021727,0.55265,2.0928171516224077,0.5509554140127388
5,2.179914457321167,0.553925,2.8580395089592905,0.4836783439490446
6,2.2118843963623047,0.5569,2.1757229593149416,0.5535429936305732
7,2.2152805994033815,0.552425,2.2081433211921886,0.5573248407643312
8,2.197577303314209,0.556675,2.1575654858996156,0.5547372611464968
9,2.208268827819824,0.5541,2.127260624982749,0.5438893312101911
10,2.196774328994751,0.5531,2.3482091388884623,0.5214968152866242
11,1.8880787868499755,0.5888,1.921867277591851,0.5814092356687898
12,1.8691201679229736,0.5937,1.9503910697189866,0.5742436305732485
13,1.8669804043769835,0.593825,1.9659183894752696,0.5799164012738853
14,1.8674816255569457,0.5948,1.9571271648832187,0.5784235668789809
15,1.868488705921173,0.59655,1.9217650324675688,0.5830015923566879
16,1.8665737008094787,0.595775,1.9552866964583184,0.5822054140127388
17,1.8672670060157777,0.5984,1.9261950713813685,0.5862858280254777
18,1.8663087615966796,0.598425,1.960494487148941,0.5782245222929936
19,1.8664444739341737,0.59825,1.964112567673823,0.5801154458598726
20,1.8675987949371338,0.60065,1.9576144366507318,0.5805135350318471
21,1.8639839334487915,0.598575,1.9619776879905895,0.5807125796178344
22,1.8838577303886415,0.5952,1.9918385744094849,0.5766321656050956
23,1.9083051886558533,0.5912,2.024305814390729,0.5730493630573248
24,1.9320895433425904,0.587975,2.0512802262974392,0.5698646496815286
25,1.954949263381958,0.585075,2.081132206187886,0.5676751592356688
26,1.9756460356712342,0.583975,2.1049110874248917,0.5657842356687898
27,1.9953126581192016,0.583375,2.1266343768235223,0.56359474522293
28,2.0134798229217528,0.582575,2.1448967973138116,0.5638933121019108
29,2.0309973160743713,0.58035,2.176992939535979,0.5603105095541401
30,2.0488460582733152,0.578625,2.187069690910874,0.5608081210191083
