epoch,train_loss,train_accuracy,val_loss,val_accuracy,subspace_distance
1,0.3388267603066876,0.9351222826086957,0.11411494607473635,0.9759156050955414,
2,0.09211813311194977,0.9792798913043478,0.05884207716318452,0.9873606687898089,
3,0.06219237499282031,0.9857736572890026,0.05041240281455076,0.9884554140127388,
4,0.05008869220876633,0.9872122762148338,0.04265941734052008,0.9893511146496815,
5,0.040919938574895225,0.9901894181585678,0.039379046268903525,0.9902468152866242,
6,0.035656528132955743,0.9906889386189258,0.03793746123837817,0.9903463375796179,
7,0.03067071982861861,0.9925871163682864,0.03276183192802083,0.9910429936305732,
8,0.02716096506818481,0.9933863491048593,0.03087919535245865,0.9920382165605095,
9,0.023447848415797782,0.9943654092071611,0.03173087774568303,0.9912420382165605,
10,0.021033984134950296,0.9950447570332481,0.02910647128417993,0.9924363057324841,
11,0.017601669646913894,0.9957640664961637,0.027235166472234545,0.9929339171974523,
12,0.015962577632168674,0.9968230498721228,0.0263868807370116,0.992734872611465,
13,0.015619303042645498,0.9971027813299232,0.025457065588065014,0.9925358280254777,
14,0.014714849584014214,0.9971227621483376,0.02547095941415258,0.9920382165605095,
15,0.014386045301090116,0.9971427429667519,0.024650379588269884,0.992734872611465,
16,0.013795689648717566,0.9973025895140665,0.02424815781177229,0.9931329617834395,
17,0.013433845337394558,0.9975223785166241,0.025016999524679912,0.9928343949044586,
18,0.013059531398060377,0.9973425511508951,0.02517381061319333,0.9926353503184714,
19,0.012685986902669567,0.9975023976982097,0.024538249868875855,0.9932324840764332,
20,0.012372530234591735,0.9977621483375959,0.02507933862744623,0.9931329617834395,
21,0.011308115456834474,0.9980218989769821,0.02360344777820976,0.9931329617834395,
22,0.011221670171679438,0.9980418797953964,0.023572819604046027,0.9930334394904459,
23,0.011861486329466028,0.9977821291560103,0.023543315186242388,0.993531050955414,
24,0.01110873431862925,0.9979819373401535,0.023738612035277544,0.9932324840764332,
25,0.010998648103050259,0.998201726342711,0.02398060452026926,0.9931329617834395,
26,0.010475848032080608,0.9984614769820972,0.023705242806748978,0.9929339171974523,
27,0.010754576269680124,0.9980218989769821,0.023685752918386156,0.9932324840764332,
28,0.01076165343756261,0.9982217071611253,0.02356148542017694,0.9931329617834395,
29,0.010705838704010104,0.998141783887468,0.02409365189493082,0.9929339171974523,
30,0.010750617479424343,0.9981018222506394,0.02461406329919578,0.9929339171974523,
